pred,label
ham,ham
ham,ham
ham,ham
ham,ham
ham,ham
ham,ham
ham,ham
ham,ham
ham,ham
ham,ham
ham,ham
ham,spam
ham,ham
ham,ham
ham,ham
ham,ham
ham,ham
ham,ham
ham,spam
ham,ham
ham,ham
ham,ham
ham,ham
ham,ham
ham,spam
ham,ham
ham,spam
ham,ham
ham,spam
ham,ham
ham,ham
ham,ham
ham,spam
ham,ham
ham,ham
ham,ham
ham,ham
ham,ham
ham,ham
ham,ham
ham,ham
ham,ham
ham,ham
ham,ham
ham,spam
ham,ham
ham,ham
ham,ham
ham,ham
ham,ham
ham,ham
ham,ham
ham,ham
ham,ham
ham,ham
ham,ham
ham,ham
ham,ham
ham,ham
ham,ham
ham,ham
ham,ham
ham,ham
ham,ham
ham,ham
ham,ham
ham,ham
ham,ham
ham,spam
ham,ham
ham,ham
ham,ham
ham,ham
ham,ham
ham,ham
ham,ham
ham,ham
ham,ham
ham,ham
ham,ham
ham,spam
ham,ham
ham,ham
ham,ham
ham,ham
ham,ham
ham,ham
ham,ham
ham,ham
ham,ham
ham,ham
ham,ham
ham,ham
ham,ham
ham,ham
ham,ham
ham,ham
ham,spam
ham,spam
ham,ham
ham,spam
ham,ham
ham,ham
ham,ham
ham,ham
ham,spam
ham,ham
ham,ham
ham,ham
ham,ham
ham,ham
ham,ham
ham,ham
ham,ham
ham,ham
ham,ham
ham,ham
ham,ham
ham,spam
ham,ham
ham,ham
ham,ham
ham,spam
ham,ham
ham,spam
ham,ham
ham,ham
ham,ham
ham,ham
ham,ham
ham,ham
ham,ham
ham,ham
ham,ham
ham,ham
ham,spam
ham,ham
ham,ham
ham,ham
ham,spam
ham,spam
ham,ham
ham,ham
ham,ham
ham,ham
ham,ham
ham,spam
ham,ham
ham,ham
ham,ham
ham,ham
ham,spam
ham,ham
ham,ham
ham,ham
ham,ham
ham,ham
ham,ham
ham,ham
ham,ham
ham,ham
ham,ham
ham,ham
ham,ham
ham,ham
ham,ham
ham,ham
ham,ham
ham,ham
ham,ham
ham,spam
ham,ham
ham,ham
ham,ham
ham,ham
ham,ham
ham,ham
ham,ham
ham,spam
ham,spam
ham,ham
ham,ham
ham,ham
ham,ham
ham,ham
ham,ham
ham,spam
ham,ham
ham,ham
ham,spam
ham,spam
ham,ham
ham,ham
ham,ham
ham,ham
ham,ham
ham,ham
ham,ham
ham,ham
ham,ham
ham,ham
ham,ham
ham,ham
ham,ham
ham,ham
ham,ham
ham,ham
ham,ham
ham,ham
ham,spam
ham,ham
ham,ham
ham,ham
ham,ham
ham,spam
ham,ham
ham,ham
ham,ham
ham,ham
ham,ham
ham,ham
